model,task_name,fold,training_mode,inner_best_score,selected_params_json
random_forest,stage,0,tuned,0.3799490583918838,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}"
random_forest,apnea,0,tuned,0.6258115356354771,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}"
xgboost,stage,0,tuned,0.3496529156887627,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 7, ""n_estimators"": 300, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}"
xgboost,apnea,0,tuned,0.6177374821961074,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm_rbf,stage,0,tuned,0.3874970073513619,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": 0.01}"
svm_rbf,apnea,0,tuned,0.6035294836118472,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": 0.1}"
random_forest,stage,1,tuned,0.3900948197027745,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""min_samples_leaf"": 5, ""n_estimators"": 400, ""n_jobs"": -1}"
random_forest,apnea,1,tuned,0.6036539640790877,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}"
xgboost,stage,1,tuned,0.3943442405514716,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}"
xgboost,apnea,1,tuned,0.6071915866161541,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}"
svm_rbf,stage,1,tuned,0.3218814909129192,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": ""scale""}"
svm_rbf,apnea,1,tuned,0.6794689284232193,"{""C"": 1, ""class_weight"": ""balanced"", ""gamma"": 0.01}"
random_forest,stage,2,tuned,0.3910203846578453,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}"
random_forest,apnea,2,tuned,0.6284081782316567,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""min_samples_leaf"": 5, ""n_estimators"": 400, ""n_jobs"": -1}"
xgboost,stage,2,tuned,0.3652037459099204,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 1.0, ""tree_method"": ""hist""}"
xgboost,apnea,2,tuned,0.6257639485631605,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm_rbf,stage,2,tuned,0.4867867612915513,"{""C"": 1, ""class_weight"": ""balanced"", ""gamma"": 0.01}"
svm_rbf,apnea,2,tuned,0.6111273774835483,"{""C"": 1, ""class_weight"": ""balanced"", ""gamma"": 0.1}"
random_forest,stage,3,tuned,0.4665190359070958,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""min_samples_leaf"": 5, ""n_estimators"": 400, ""n_jobs"": -1}"
random_forest,apnea,3,tuned,0.6443467437948328,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}"
xgboost,stage,3,tuned,0.4349745649949588,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 150, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,apnea,3,tuned,0.6495155882133843,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm_rbf,stage,3,tuned,0.4363125110694606,"{""C"": 1, ""class_weight"": ""balanced"", ""gamma"": 0.01}"
svm_rbf,apnea,3,tuned,0.6677105303857012,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": 0.01}"
random_forest,stage,4,tuned,0.4360694256819774,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}"
random_forest,apnea,4,tuned,0.6417280449890063,"{""class_weight"": ""balanced"", ""max_depth"": 20, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}"
xgboost,stage,4,tuned,0.4129119787159516,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,apnea,4,tuned,0.6351536140418247,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm_rbf,stage,4,tuned,0.2772771115625561,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": 0.01}"
svm_rbf,apnea,4,tuned,0.5914317689867394,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": 0.1}"
random_forest,stage,final,tuned,0.4071787621487078,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 200, ""n_jobs"": -1}"
random_forest,apnea,final,tuned,0.677879611886632,"{""class_weight"": ""balanced"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": -1}"
xgboost,stage,final,tuned,0.3984249938701147,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 150, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 0.8, ""tree_method"": ""hist""}"
xgboost,apnea,final,tuned,0.6917182327870549,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 150, ""n_jobs"": -1, ""scale_pos_weight"": 1.0, ""subsample"": 0.8, ""tree_method"": ""hist""}"
svm_rbf,stage,final,tuned,0.3729524565812279,"{""C"": 1, ""class_weight"": ""balanced"", ""gamma"": ""scale""}"
svm_rbf,apnea,final,tuned,0.5813355376421466,"{""C"": 10, ""class_weight"": ""balanced"", ""gamma"": ""scale""}"
