model,fold,stage_accuracy,stage_macro_f1,stage_cohen_kappa,stage_per_class_f1_n1,stage_per_class_f1_n2,stage_per_class_f1_n3,stage_per_class_f1_rem,stage_per_class_f1_w,apnea_accuracy,apnea_sensitivity,apnea_specificity,apnea_auc_roc,apnea_n_samples
random_forest,0,0.5171840354767184,0.4463397765367166,0.3373814217789632,0.1167664670658682,0.5040650406504065,0.8817891373801917,0.018348623853211,0.7107296137339055,0.5842572062084257,0.4930966469428008,0.7012658227848101,0.6679736848675505,1804
xgboost,0,0.6086474501108647,0.4367997104765885,0.4102751688666718,0.1082621082621082,0.6887816646562123,0.7224334600760456,0.0,0.6645213193885761,0.4850332594235033,0.2268244575936883,0.8164556962025317,0.6412940354030909,1804
svm_rbf,0,0.438470066518847,0.4100521100882959,0.269013352106817,0.1779935275080906,0.3463497453310696,0.7728459530026109,0.1397379912663755,0.6133333333333333,0.524390243902439,0.4644970414201183,0.6012658227848101,0.533314608144209,1804
random_forest,1,0.6573472041612484,0.5048362662609935,0.5028164651108582,0.215311004784689,0.7101787101787101,0.680672268907563,0.0934579439252336,0.8245614035087719,0.6742522756827048,0.7837037037037037,0.5886442641946698,0.7150354062057421,1538
xgboost,1,0.6521456436931079,0.4568694172557753,0.4734406976848362,0.1052631578947368,0.6940244780417567,0.6824644549763034,0.0,0.8025949953660797,0.6684005201560468,0.7288888888888889,0.6210892236384704,0.7059319342517488,1538
svm_rbf,1,0.6222366710013004,0.4863663066044956,0.4643591663314832,0.2276029055690072,0.6704180064308681,0.6714285714285714,0.0680272108843537,0.7943548387096774,0.6274382314694408,0.88,0.4298957126303592,0.701392214926398,1538
random_forest,2,0.6511784511784512,0.4936436198237497,0.4957707222809258,0.2549450549450549,0.7406749555950266,0.2040816326530612,0.4896265560165975,0.7788898999090081,0.5959595959595959,0.3748031496062992,0.7611764705882353,0.6421936081519222,1485
xgboost,2,0.6424242424242425,0.4846919863605841,0.4734162117834671,0.1108179419525065,0.7307692307692307,0.3265306122448979,0.4834123222748815,0.7719298245614035,0.6222222222222222,0.4771653543307086,0.7305882352941176,0.6503446039833256,1485
svm_rbf,2,0.5191919191919192,0.4539880167883005,0.3677746267909145,0.2857142857142857,0.503242542153048,0.3478260869565217,0.4007352941176471,0.732421875,0.5905723905723905,0.5606299212598426,0.6129411764705882,0.6328216767021769,1485
random_forest,3,0.5484867201976529,0.3946476287848998,0.3703874533837665,0.0516431924882629,0.5402124430955993,0.4026845637583892,0.1528662420382165,0.8258317025440313,0.6392835083384806,0.0915492957746478,0.9352997145575642,0.5237583924096434,1619
xgboost,3,0.5793699814700433,0.4104170797388607,0.3985605239457179,0.0673076923076923,0.6366459627329193,0.3728813559322034,0.1501103752759381,0.8251400124455507,0.6355775169857937,0.0827464788732394,0.934348239771646,0.5982087817102424,1619
svm_rbf,3,0.4521309450277949,0.3420993634714918,0.2825743439869109,0.044776119402985,0.2470784641068447,0.4816326530612245,0.1616161616161616,0.7753934191702432,0.5954292773316863,0.1320422535211267,0.845861084681256,0.5380070623551011,1619
random_forest,4,0.5511596180081856,0.4787254332045599,0.3702440347779662,0.3755364806866952,0.6570694087403599,0.6773333333333333,0.0666666666666666,0.6170212765957447,0.5861755343337881,0.5468926553672316,0.6126331811263318,0.6133194025230246,2199
xgboost,4,0.5575261482492042,0.4405674837581262,0.3501437526082306,0.3059805285118219,0.6557526148249204,0.6123595505617978,0.0098522167487684,0.6188925081433225,0.6102773988176444,0.4723163841807909,0.7031963470319634,0.6046939091401595,2199
svm_rbf,4,0.44974988631196,0.4356336085889003,0.2945730597372242,0.2873051224944321,0.5324590163934426,0.6181818181818182,0.1553398058252427,0.5848822800495663,0.5429740791268759,0.6768361581920904,0.4528158295281583,0.5964304448400106,2199
