model,fold,accuracy,macro_f1,cohen_kappa,per_class_f1_n1,per_class_f1_n2,per_class_f1_n3,per_class_f1_rem,per_class_f1_w
svm_rbf,0,0.31375259156876295,0.095528669121515,0.0,0.0,0.477643345607575,0.0,0.0,0.0
svm_rbf,1,0.2261437908496732,0.07377398720682303,0.0,0.0,0.0,0.0,0.0,0.36886993603411516
svm_rbf,2,0.1909722222222222,0.0641399416909621,0.0,0.0,0.0,0.0,0.0,0.3206997084548105
svm_rbf,3,0.2523047064531781,0.08058891902363426,0.0,0.0,0.40294459511817127,0.0,0.0,0.0
svm_rbf,4,0.3825565297646516,0.12797301258369115,-0.04436932353359646,0.0,0.5451424648129076,0.0,0.0,0.09472259810554803
random_forest,0,0.3261921216309606,0.12439058035274413,0.01058684176753133,0.0,0.46901172529313234,0.0,0.0,0.15294117647058825
random_forest,1,0.2261437908496732,0.07377398720682303,0.0,0.0,0.0,0.0,0.0,0.36886993603411516
random_forest,2,0.1909722222222222,0.0641399416909621,0.0,0.0,0.0,0.0,0.0,0.3206997084548105
random_forest,3,0.2964580300824842,0.13060809704895537,0.018778306839740244,0.0,0.3849188952213941,0.0,0.0,0.2681215900233827
random_forest,4,0.1970466082141209,0.0820543093270366,-0.2812468249844795,0.0,0.29338842975206614,0.0,0.0,0.11688311688311688
xgboost,0,0.3255010366275052,0.12505920457908198,0.007423910713469817,0.0,0.4661064425770308,0.0,0.0,0.15918958031837915
xgboost,1,0.2261437908496732,0.07377398720682303,0.0,0.0,0.0,0.0,0.0,0.36886993603411516
xgboost,2,0.1909722222222222,0.0641399416909621,0.0,0.0,0.0,0.0,0.0,0.3206997084548105
xgboost,3,0.30131004366812225,0.13061099329693823,0.029692424032884968,0.0,0.39400428265524623,0.0,0.0,0.2590506838294449
xgboost,4,0.21042916474388557,0.08634309768156781,-0.26014877471747466,0.0,0.31557543716958114,0.0,0.0,0.1161400512382579
